# Force and moment coefficients
# dragDir       : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# rollAxis      : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# magUInf       : 9.42371919e+01
# lRef          : 1.50000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.016           	1.18215383e-01	-3.01833979e-01	4.20049362e-01	1.08282501e+00	4.53336631e-01	6.29488379e-01	-8.80758744e-02	-3.60941670e-01	3.94051277e-02	1.28697979e-20	3.94051277e-02	-3.94051277e-02
0.017           	1.17075834e-01	-3.06985040e-01	4.24060873e-01	1.09656887e+00	4.60148057e-01	6.36420812e-01	-8.81363775e-02	-3.65522956e-01	3.90252779e-02	1.28692248e-20	3.90252779e-02	-3.90252779e-02
0.018           	1.15652922e-01	-3.11210368e-01	4.26863290e-01	1.10711049e+00	4.65975923e-01	6.41134563e-01	-8.75793198e-02	-3.69036829e-01	3.85509741e-02	1.28386974e-20	3.85509741e-02	-3.85509741e-02
0.019           	1.13950468e-01	-3.14969763e-01	4.28920231e-01	1.11583499e+00	4.70993338e-01	6.44841652e-01	-8.69241567e-02	-3.71944997e-01	3.79834894e-02	1.28662978e-20	3.79834894e-02	-3.79834894e-02
0.02            	1.11767622e-01	-3.18752477e-01	4.30520100e-01	1.12390887e+00	4.75631230e-01	6.48277636e-01	-8.63232027e-02	-3.74636289e-01	3.72558741e-02	1.28312816e-20	3.72558741e-02	-3.72558741e-02
0.021           	1.10156857e-01	-3.21929381e-01	4.32086238e-01	1.13102343e+00	4.79620290e-01	6.51403138e-01	-8.58914242e-02	-3.77007809e-01	3.67189525e-02	1.28126486e-20	3.67189525e-02	-3.67189525e-02
0.022           	1.07920944e-01	-3.25783860e-01	4.33704804e-01	1.13923300e+00	4.84102726e-01	6.55130270e-01	-8.55137720e-02	-3.79744332e-01	3.59736482e-02	1.28243231e-20	3.59736482e-02	-3.59736482e-02
0.023           	1.06903388e-01	-3.28767927e-01	4.35671315e-01	1.14665886e+00	4.88031287e-01	6.58627576e-01	-8.52981445e-02	-3.82219621e-01	3.56344627e-02	1.28144647e-20	3.56344627e-02	-3.56344627e-02
0.024           	1.06430692e-01	-3.31542850e-01	4.37973542e-01	1.15427459e+00	4.91809361e-01	6.62465226e-01	-8.53279322e-02	-3.84758196e-01	3.54768972e-02	1.27883271e-20	3.54768972e-02	-3.54768972e-02
0.025           	1.05031702e-01	-3.35070618e-01	4.40102321e-01	1.16275941e+00	4.96169146e-01	6.66590263e-01	-8.52105582e-02	-3.87586470e-01	3.50105675e-02	1.27807476e-20	3.50105675e-02	-3.50105675e-02
