# Force and moment coefficients
# dragDir       : (9.84808980e-01 1.73641217e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73641217e-01 9.84808980e-01 0.00000000e+00)
# rollAxis      : (9.84808980e-01 1.73641217e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73641217e-01 9.84808980e-01 0.00000000e+00)
# magUInf       : 9.42371919e+01
# lRef          : 1.50000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0005          	8.84122680e-01	-5.55576850e-01	1.43969953e+00	2.99291457e+00	4.76303537e-01	2.51661103e+00	-1.02015375e+00	-9.97638190e-01	2.94707560e-01	-1.19642279e-20	2.94707560e-01	-2.94707560e-01
0.001           	7.15066325e-01	-5.50707615e-01	1.26577394e+00	2.72472233e+00	4.51862059e-01	2.27286027e+00	-9.10499107e-01	-9.08240777e-01	2.38355442e-01	-1.21478364e-20	2.38355442e-01	-2.38355442e-01
0.0015          	5.93716803e-01	-5.25434681e-01	1.11915148e+00	2.46687925e+00	4.41090139e-01	2.02578911e+00	-7.92349485e-01	-8.22293082e-01	1.97905601e-01	-1.19504784e-20	1.97905601e-01	-1.97905601e-01
0.002           	4.93370252e-01	-4.92516711e-01	9.85886963e-01	2.21760551e+00	4.43411120e-01	1.77419439e+00	-6.65391635e-01	-7.39201837e-01	1.64456751e-01	-1.18216293e-20	1.64456751e-01	-1.64456751e-01
0.0025          	4.04573875e-01	-4.55267395e-01	8.59841271e-01	1.97266300e+00	4.55423376e-01	1.51723962e+00	-5.30908123e-01	-6.57554333e-01	1.34857958e-01	-1.17767160e-20	1.34857958e-01	-1.34857958e-01
0.003           	3.28014534e-01	-4.17013741e-01	7.45028275e-01	1.74306302e+00	4.79411465e-01	1.26365156e+00	-3.92120047e-01	-5.81021008e-01	1.09338178e-01	-1.17867286e-20	1.09338178e-01	-1.09338178e-01
0.0035          	2.62423176e-01	-3.72729051e-01	6.35152227e-01	1.51182192e+00	5.08015751e-01	1.00380617e+00	-2.47895207e-01	-5.03940639e-01	8.74743921e-02	-1.15399045e-20	8.74743921e-02	-8.74743921e-02
0.004           	2.17717185e-01	-3.42743717e-01	5.60460902e-01	1.35480693e+00	5.19681520e-01	8.35125408e-01	-1.57721944e-01	-4.51602310e-01	7.25723950e-02	-1.15228699e-20	7.25723950e-02	-7.25723950e-02
0.0045          	1.80380155e-01	-3.22805998e-01	5.03186153e-01	1.23898823e+00	5.22452523e-01	7.16535704e-01	-9.70415907e-02	-4.12996076e-01	6.01267183e-02	-1.14539637e-20	6.01267183e-02	-6.01267183e-02
0.005           	1.46947930e-01	-3.07783867e-01	4.54731797e-01	1.14377350e+00	5.18218073e-01	6.25555423e-01	-5.36686747e-02	-3.81257832e-01	4.89826433e-02	-1.13845291e-20	4.89826433e-02	-4.89826433e-02
