# Force and moment coefficients
# dragDir       : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# rollAxis      : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# magUInf       : 9.42371919e+01
# lRef          : 1.50000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0005          	1.28608339e+00	-5.87325309e-01	1.87340870e+00	3.69110101e+00	5.63972298e-01	3.12712871e+00	-1.28157821e+00	-1.23036700e+00	4.28694463e-01	-1.22804358e-20	4.28694463e-01	-4.28694463e-01
0.001           	1.30990419e+00	-6.92938818e-01	2.00284301e+00	4.04367274e+00	6.34319658e-01	3.40935308e+00	-1.38751671e+00	-1.34789091e+00	4.36634729e-01	-1.26418715e-20	4.36634729e-01	-4.36634729e-01
0.0015          	1.12375595e+00	-6.62811033e-01	1.78656698e+00	3.67406702e+00	6.21274279e-01	3.05279274e+00	-1.21575923e+00	-1.22468901e+00	3.74585315e-01	-1.23655099e-20	3.74585315e-01	-3.74585315e-01
0.002           	9.60290389e-01	-6.24833955e-01	1.58512434e+00	3.31493745e+00	6.23964204e-01	2.69097324e+00	-1.03350452e+00	-1.10497915e+00	3.20096796e-01	-1.21598889e-20	3.20096796e-01	-3.20096796e-01
0.0025          	8.11985706e-01	-5.81520345e-01	1.39350605e+00	2.96253960e+00	6.44597913e-01	2.31794168e+00	-8.36671885e-01	-9.87513198e-01	2.70661902e-01	-1.21195539e-20	2.70661902e-01	-2.70661902e-01
0.003           	6.76357674e-01	-5.35676553e-01	1.21203423e+00	2.62156617e+00	6.79146779e-01	1.94241939e+00	-6.31636307e-01	-8.73855391e-01	2.25452558e-01	-1.21002920e-20	2.25452558e-01	-2.25452558e-01
0.0035          	5.55562578e-01	-4.88796090e-01	1.04435867e+00	2.29973214e+00	7.25175209e-01	1.57455693e+00	-4.24690859e-01	-7.66577379e-01	1.85187526e-01	-1.18364782e-20	1.85187526e-01	-1.85187526e-01
0.004           	4.64888570e-01	-4.54477851e-01	9.19366421e-01	2.06076641e+00	7.52329755e-01	1.30843665e+00	-2.78053449e-01	-6.86922136e-01	1.54962857e-01	-1.17579705e-20	1.54962857e-01	-1.54962857e-01
0.0045          	3.93418697e-01	-4.34143049e-01	8.27561746e-01	1.89255719e+00	7.61188957e-01	1.13136824e+00	-1.85089639e-01	-6.30852398e-01	1.31139566e-01	-1.16184949e-20	1.31139566e-01	-1.31139566e-01
0.005           	3.28884826e-01	-4.16520029e-01	7.45404854e-01	1.74288732e+00	7.57547568e-01	9.85339757e-01	-1.13896094e-01	-5.80962442e-01	1.09628275e-01	-1.14874886e-20	1.09628275e-01	-1.09628275e-01
0.0055          	2.74697598e-01	-4.05416636e-01	6.80114234e-01	1.62829631e+00	7.47157304e-01	8.81139002e-01	-6.69908491e-02	-5.42765435e-01	9.15658661e-02	-1.14471898e-20	9.15658661e-02	-9.15658661e-02
0.006           	2.25288520e-01	-3.97922669e-01	6.23211189e-01	1.53170079e+00	7.28470426e-01	8.03230360e-01	-3.73799669e-02	-5.10566929e-01	7.50961735e-02	-1.13415810e-20	7.50961735e-02	-7.50961735e-02
0.0065          	1.80027806e-01	-3.90922364e-01	5.70950170e-01	1.44280880e+00	7.05793861e-01	7.37014941e-01	-1.56105403e-02	-4.80936267e-01	6.00092688e-02	-1.14236801e-20	6.00092688e-02	-6.00092688e-02
0.007           	1.39716121e-01	-3.89276800e-01	5.28992921e-01	1.37740458e+00	6.77794823e-01	6.99609758e-01	-1.09074675e-02	-4.59134860e-01	4.65720403e-02	-1.12560558e-20	4.65720403e-02	-4.65720403e-02
0.0075          	1.04409276e-01	-3.85180714e-01	4.89589990e-01	1.31215605e+00	6.50694108e-01	6.61461947e-01	-5.38391972e-03	-4.37385352e-01	3.48030919e-02	-1.12670861e-20	3.48030919e-02	-3.48030919e-02
