# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.27273e-05      3.51848931e+03 -4.66102371e+00 1.61716819e-15 5.59818172e+02 -4.64040618e+00 1.61848666e-15 2.95867113e+03 -2.06175371e-02 -1.31846982e-18
2.32313e-05      3.53105139e+03 -4.76018583e+00 1.61659738e-15 5.72342901e+02 -4.73954447e+00 1.61790652e-15 2.95870849e+03 -2.06413561e-02 -1.30913465e-18
2.38361e-05      3.54613069e+03 -4.87888073e+00 1.61590149e-15 5.87376761e+02 -4.85821031e+00 1.61721047e-15 2.95875393e+03 -2.06704193e-02 -1.30898145e-18
2.45619e-05      3.56423276e+03 -5.02088223e+00 1.61506660e-15 6.05423413e+02 -5.00017624e+00 1.61637540e-15 2.95880934e+03 -2.07059875e-02 -1.30879758e-18
2.54328e-05      3.58596523e+03 -5.19066373e+00 1.61406499e-15 6.27088100e+02 -5.16991406e+00 1.61537357e-15 2.95887713e+03 -2.07496684e-02 -1.30857690e-18
2.64773e-05      3.61204464e+03 -5.39340307e+00 1.61286409e-15 6.53084378e+02 -5.37259957e+00 1.61417240e-15 2.95896026e+03 -2.08034973e-02 -1.30831189e-18
2.77303e-05      3.64334738e+03 -5.63530678e+00 1.61142415e-15 6.84284739e+02 -5.61443663e+00 1.61273215e-15 2.95906264e+03 -2.08701418e-02 -1.30799406e-18
2.9233e-05       3.68092149e+03 -5.92360133e+00 1.60969789e-15 7.21732252e+02 -5.90264826e+00 1.61100550e-15 2.95918924e+03 -2.09530726e-02 -1.30761280e-18
3.10374e-05      3.72608221e+03 -6.26714814e+00 1.60762619e-15 7.66735447e+02 -6.24609114e+00 1.60893335e-15 2.95934676e+03 -2.10569979e-02 -1.30715613e-18
3.32003e-05      3.78027808e+03 -6.67516627e+00 1.60514450e-15 8.20734601e+02 -6.65397843e+00 1.60645111e-15 2.95954348e+03 -2.11878397e-02 -1.30660717e-18
3.57312e-05      3.84378467e+03 -7.14746034e+00 1.60224271e-15 8.84000127e+02 -7.12611047e+00 1.60354865e-15 2.95978454e+03 -2.13498642e-02 -1.30593692e-18
3.75135e-05      3.88856957e+03 -7.47753152e+00 1.60020113e-15 9.28609597e+02 -7.45606355e+00 1.60150605e-15 2.95995998e+03 -2.14679686e-02 -1.30491374e-18
3.95021e-05      3.93859329e+03 -7.84264320e+00 1.59792407e-15 9.78430841e+02 -7.82103806e+00 1.59922843e-15 2.96016245e+03 -2.16051346e-02 -1.30436116e-18
4.10464e-05      3.97748100e+03 -8.12426745e+00 1.59615719e-15 1.01715711e+03 -8.10255258e+00 1.59746080e-15 2.96032388e+03 -2.17148621e-02 -1.30361053e-18
4.27836e-05      4.02127356e+03 -8.43870277e+00 1.59417005e-15 1.06076291e+03 -8.41686029e+00 1.59547320e-15 2.96051065e+03 -2.18424733e-02 -1.30314861e-18
4.46423e-05      4.06817930e+03 -8.77239062e+00 1.59204519e-15 1.10746291e+03 -8.75040683e+00 1.59334781e-15 2.96071639e+03 -2.19837911e-02 -1.30261419e-18
4.64213e-05      4.11312703e+03 -9.08929873e+00 1.59001255e-15 1.15220823e+03 -9.06717518e+00 1.59131456e-15 2.96091880e+03 -2.21235502e-02 -1.30200932e-18
4.84121e-05      4.16348228e+03 -9.44081722e+00 1.58773912e-15 1.20233020e+03 -9.41853169e+00 1.58904061e-15 2.96115208e+03 -2.22855300e-02 -1.30149227e-18
4.93469e-05      4.18714920e+03 -9.60519367e+00 1.58667272e-15 1.22588591e+03 -9.58283098e+00 1.58797339e-15 2.96126328e+03 -2.23626883e-02 -1.30067884e-18
5.02087e-05      4.20898323e+03 -9.75617734e+00 1.58568926e-15 1.24761612e+03 -9.73374247e+00 1.58698965e-15 2.96136711e+03 -2.24348736e-02 -1.30038146e-18
5.06456e-05      4.22005564e+03 -9.83256717e+00 1.58519105e-15 1.25863554e+03 -9.81009545e+00 1.58649109e-15 2.96142010e+03 -2.24717197e-02 -1.30003488e-18
5.06456e-05      4.22005572e+03 -9.83256770e+00 1.58519128e-15 1.25863562e+03 -9.81009598e+00 1.58649108e-15 2.96142010e+03 -2.24717199e-02 -1.29980926e-18
5.06456e-05      4.22005572e+03 -9.83256770e+00 1.58519128e-15 1.25863562e+03 -9.81009598e+00 1.58649108e-15 2.96142010e+03 -2.24717199e-02 -1.29980926e-18
