# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.27273e-05      5.40863652e+02 -4.67707980e+00 1.62027677e-15 5.24115137e+02 -4.67662856e+00 1.62030075e-15 1.67485148e+01 -4.51236279e-04 -2.39779707e-20
4.77855e-05      1.02919499e+03 -9.84654908e+00 1.59658238e-15 1.01244544e+03 -9.84632082e+00 1.59660770e-15 1.67495591e+01 -2.28256078e-04 -2.53228166e-20
7.42359e-05      1.41275692e+03 -1.53686458e+01 1.57795261e-15 1.39601410e+03 -1.53693021e+01 1.57797604e-15 1.67428217e+01 6.56308933e-04 -2.34340040e-20
0.000101464      1.67299199e+03 -1.78523256e+01 1.56477312e-15 1.65625904e+03 -1.78543511e+01 1.56479565e-15 1.67329489e+01 2.02553523e-03 -2.25308707e-20
0.000129544      1.82684814e+03 -1.32584687e+01 1.55583104e-15 1.81012380e+03 -1.32614969e+01 1.55585348e-15 1.67243383e+01 3.02818399e-03 -2.24359166e-20
0.000158559      1.88941553e+03 -6.16296113e+00 1.55056936e-15 1.87269251e+03 -6.16642190e+00 1.55059274e-15 1.67230165e+01 3.46077162e-03 -2.33756009e-20
0.000187574      1.87612874e+03 3.57860365e+00 1.54850280e-15 1.85939737e+03 3.57561078e+00 1.54852773e-15 1.67313726e+01 2.99287490e-03 -2.49239048e-20
0.000217664      1.79894409e+03 1.57750946e+01 1.54917579e-15 1.78219289e+03 1.57736538e+01 1.54920281e-15 1.67512058e+01 1.44083470e-03 -2.70244082e-20
0.000247754      1.67582201e+03 2.70970865e+01 1.55222168e-15 1.65903855e+03 2.70979176e+01 1.55225157e-15 1.67834622e+01 -8.31132803e-04 -2.98852795e-20
0.000277844      1.52988849e+03 3.58431457e+01 1.55716244e-15 1.51305679e+03 3.58469277e+01 1.55719364e-15 1.68316958e+01 -3.78194489e-03 -3.12028718e-20
0.000307933      1.38442698e+03 3.98169474e+01 1.56299431e-15 1.36753292e+03 3.98241698e+01 1.56302586e-15 1.68940595e+01 -7.22240410e-03 -3.15518252e-20
0.000338023      1.25658469e+03 3.88229331e+01 1.56857441e-15 1.23961834e+03 3.88336761e+01 1.56860614e-15 1.69663440e+01 -1.07429339e-02 -3.17282404e-20
0.000368113      1.15455761e+03 3.37443222e+01 1.57304551e-15 1.13751434e+03 3.37582864e+01 1.57307701e-15 1.70432710e+01 -1.39642215e-02 -3.15000373e-20
0.000398203      1.07858520e+03 2.50273953e+01 1.57601530e-15 1.06146548e+03 2.50437977e+01 1.57604631e-15 1.71197154e+01 -1.64023846e-02 -3.10136390e-20
0.000428293      1.02559463e+03 1.33611125e+01 1.57752084e-15 1.00840236e+03 1.33787130e+01 1.57755080e-15 1.71922668e+01 -1.76004671e-02 -2.99678054e-20
0.000458383      9.91574284e+02 1.83189482e+00 1.57778936e-15 9.74314030e+02 1.84955250e+00 1.57781833e-15 1.72602534e+01 -1.76576844e-02 -2.89709895e-20
0.000486889      9.72031900e+02 -7.80307498e+00 1.57728075e-15 9.54710916e+02 -7.78610358e+00 1.57730921e-15 1.73209837e+01 -1.69714062e-02 -2.84585116e-20
0.000515395      9.61046137e+02 -1.53334747e+01 1.57623185e-15 9.43667869e+02 -1.53175968e+01 1.57625998e-15 1.73782680e+01 -1.58778986e-02 -2.81254653e-20
0.000543901      9.54686382e+02 -2.06836094e+01 1.57490490e-15 9.37254061e+02 -2.06690265e+01 1.57493218e-15 1.74323215e+01 -1.45828688e-02 -2.72792404e-20
0.000572407      9.49928538e+02 -2.33637563e+01 1.57353263e-15 9.32444982e+02 -2.33504166e+01 1.57355945e-15 1.74835560e+01 -1.33397123e-02 -2.68198297e-20
0.000600914      9.44481954e+02 -2.38127674e+01 1.57228448e-15 9.26949472e+02 -2.38004837e+01 1.57231125e-15 1.75324819e+01 -1.22837634e-02 -2.67741962e-20
0.00062942       9.36971612e+02 -2.23586182e+01 1.57125840e-15 9.19391747e+02 -2.23471412e+01 1.57128529e-15 1.75798648e+01 -1.14770258e-02 -2.68897071e-20
0.000657926      9.26722639e+02 -1.96184814e+01 1.57047894e-15 9.09096210e+02 -1.96075265e+01 1.57050614e-15 1.76264292e+01 -1.09549295e-02 -2.72025410e-20
0.000686432      9.13634548e+02 -1.62755357e+01 1.56993903e-15 8.95961727e+02 -1.62648291e+01 1.56996669e-15 1.76728202e+01 -1.07066434e-02 -2.76615163e-20
0.000714938      8.98008265e+02 -1.25716925e+01 1.56962645e-15 8.80288717e+02 -1.25609630e+01 1.56965465e-15 1.77195486e+01 -1.07295802e-02 -2.82017810e-20
0.000743444      8.80357110e+02 -8.86459847e+00 1.56951779e-15 8.62590210e+02 -8.85359532e+00 1.56954656e-15 1.77669003e+01 -1.10031523e-02 -2.87605806e-20
0.000771951      8.61247493e+02 -5.66456106e+00 1.56960104e-15 8.43432474e+02 -5.65309297e+00 1.56963039e-15 1.78150190e+01 -1.14680854e-02 -2.93490295e-20
