# Moment        
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.27273e-05      2.33853990e+00 2.70431826e+02 -2.33197669e+00 2.33831428e+00 2.62057569e+02 -2.33206742e+00 2.25618139e-04 8.37425742e+00 9.07287684e-05
4.77855e-05      4.92327454e+00 5.14597497e+02 -4.55156168e+00 4.92316041e+00 5.06222718e+02 -4.55250378e+00 1.14128039e-04 8.37477955e+00 9.42107239e-04
7.42359e-05      7.68432291e+00 7.06378461e+02 -6.74207789e+00 7.68465107e+00 6.98007050e+02 -6.74439890e+00 -3.28154467e-04 8.37141087e+00 2.32100612e-03
0.000101464      8.92616280e+00 8.36495995e+02 -7.30552700e+00 8.92717557e+00 8.28129520e+02 -7.30954770e+00 -1.01276761e-03 8.36647447e+00 4.02069939e-03
0.000129544      6.62923436e+00 9.13424069e+02 -4.28210554e+00 6.63074846e+00 9.05061900e+02 -4.28772958e+00 -1.51409199e-03 8.36216915e+00 5.62404226e-03
0.000158559      3.08148056e+00 9.44707764e+02 5.59667310e-01 3.08321095e+00 9.36346256e+02 5.52813742e-01 -1.73038581e-03 8.36150823e+00 6.85356777e-03
0.000187574      -1.78930183e+00 9.38064371e+02 5.71076977e+00 -1.78780539e+00 9.29698684e+02 5.70312406e+00 -1.49643745e-03 8.36568632e+00 7.64570443e-03
0.000217664      -7.88754730e+00 8.99472047e+02 1.17927712e+01 -7.88682689e+00 8.91096444e+02 1.17849320e+01 -7.20417348e-04 8.37560289e+00 7.83922185e-03
0.000247754      -1.35485432e+01 8.37911007e+02 1.79415188e+01 -1.35489588e+01 8.29519276e+02 1.79342380e+01 4.15566402e-04 8.39173108e+00 7.28076315e-03
0.000277844      -1.79215729e+01 7.64944243e+02 2.34541621e+01 -1.79234638e+01 7.56528395e+02 2.34481642e+01 1.89097244e-03 8.41584790e+00 5.99787315e-03
0.000307933      -1.99084737e+01 6.92213492e+02 2.60412905e+01 -1.99120849e+01 6.83766462e+02 2.60371306e+01 3.61120205e-03 8.44702975e+00 4.15989055e-03
0.000338023      -1.94114666e+01 6.28292344e+02 2.47475567e+01 -1.94168380e+01 6.19809172e+02 2.47454488e+01 5.37146697e-03 8.48317199e+00 2.10786642e-03
0.000368113      -1.68721611e+01 5.77278804e+02 1.98656065e+01 -1.68791432e+01 5.68757169e+02 1.98653981e+01 6.98211074e-03 8.52163549e+00 2.08462208e-04
0.000398203      -1.25136977e+01 5.39292598e+02 1.22485406e+01 -1.25218989e+01 5.30732740e+02 1.22497136e+01 8.20119231e-03 8.55985771e+00 -1.17292588e-03
0.000428293      -6.68055626e+00 5.12797315e+02 3.66444897e+00 -6.68935650e+00 5.04201182e+02 3.66627779e+00 8.80023357e-03 8.59613341e+00 -1.82882419e-03
0.000458383      -9.15947409e-01 4.95787142e+02 -3.75814025e+00 -9.24776251e-01 4.87157015e+02 -3.75631528e+00 8.82884221e-03 8.63012670e+00 -1.82496720e-03
0.000486889      3.90153749e+00 4.86015950e+02 -9.25350088e+00 3.89305179e+00 4.77355458e+02 -9.25210730e+00 8.48570308e-03 8.66049184e+00 -1.39357673e-03
0.000515395      7.66673734e+00 4.80523068e+02 -1.31196953e+01 7.65879839e+00 4.71833934e+02 -1.31189960e+01 7.93894929e-03 8.68913399e+00 -6.99341592e-04
0.000543901      1.03418047e+01 4.77343191e+02 -1.53812072e+01 1.03345133e+01 4.68627030e+02 -1.53813437e+01 7.29143441e-03 8.71616076e+00 1.36449201e-04
0.000572407      1.16818782e+01 4.74964269e+02 -1.62725460e+01 1.16752083e+01 4.66222491e+02 -1.62735669e+01 6.66985615e-03 8.74177802e+00 1.02085979e-03
0.000600914      1.19063837e+01 4.72240977e+02 -1.60505713e+01 1.19002418e+01 4.63474736e+02 -1.60524396e+01 6.14188171e-03 8.76624095e+00 1.86832097e-03
0.00062942       1.11793091e+01 4.68485806e+02 -1.50931431e+01 1.11735706e+01 4.59695874e+02 -1.50958104e+01 5.73851289e-03 8.78993238e+00 2.66728493e-03
0.000657926      9.80924070e+00 4.63361320e+02 -1.37592993e+01 9.80376323e+00 4.54548105e+02 -1.37626771e+01 5.47746474e-03 8.81321459e+00 3.37777440e-03
0.000686432      8.13776786e+00 4.56817274e+02 -1.22792000e+01 8.13241454e+00 4.47980864e+02 -1.22831552e+01 5.35332171e-03 8.83641010e+00 3.95518501e-03
0.000714938      6.28584627e+00 4.49004133e+02 -1.05569038e+01 6.28048148e+00 4.40144358e+02 -1.05612472e+01 5.36479011e-03 8.85977430e+00 4.34341649e-03
0.000743444      4.43229923e+00 4.40178555e+02 -8.66414340e+00 4.42679766e+00 4.31295105e+02 -8.66863780e+00 5.50157615e-03 8.88345016e+00 4.49440332e-03
0.000771951      2.83228053e+00 4.30623747e+02 -6.88225685e+00 2.82654649e+00 4.21716237e+02 -6.88666380e+00 5.73404268e-03 8.90750951e+00 4.40695505e-03
0.000800457      1.64256769e+00 4.20634736e+02 -5.45041122e+00 1.63654748e+00 4.11702797e+02 -5.45454700e+00 6.02021131e-03 8.93193852e+00 4.13578031e-03
0.000828963      8.40190028e-01 4.10490589e+02 -4.31025144e+00 8.33847268e-01 4.01533915e+02 -4.31395681e+00 6.34276010e-03 8.95667385e+00 3.70537342e-03
0.000857469      5.92755710e-01 4.00451911e+02 -3.76500623e+00 5.86073999e-01 3.91470314e+02 -3.76815902e+00 6.68171115e-03 8.98159691e+00 3.15279520e-03
0.000885975      9.84346634e-01 3.90760861e+02 -4.03478468e+00 9.77355095e-01 3.81754265e+02 -4.03735293e+00 6.99153902e-03 9.00659666e+00 2.56825110e-03
0.000914481      1.92139387e+00 3.81600973e+02 -5.01066922e+00 1.91417903e+00 3.72569434e+02 -5.01273271e+00 7.21484791e-03 9.03153845e+00 2.06348531e-03
0.000942988      3.17660683e+00 3.73081509e+02 -6.38115707e+00 3.16928847e+00 3.64025188e+02 -6.38286535e+00 7.31835826e-03 9.05632129e+00 1.70828050e-03
0.000971494      4.45254900e+00 3.65258867e+02 -7.83340428e+00 4.44524374e+00 3.56177980e+02 -7.83494328e+00 7.30526592e-03 9.08088702e+00 1.53899830e-03
0.001            5.55999358e+00 3.58104992e+02 -9.12103488e+00 5.55279002e+00 3.48999771e+02 -9.12259394e+00 7.20356438e-03 9.10522082e+00 1.55905911e-03
0.00102941       6.42807171e+00 3.51356163e+02 -1.01187529e+01 6.42103763e+00 3.42226024e+02 -1.01205208e+01 7.03407690e-03 9.13013859e+00 1.76789502e-03
0.00105882       7.02585766e+00 3.45119406e+02 -1.07340033e+01 7.01903503e+00 3.35964581e+02 -1.07361375e+01 6.82263152e-03 9.15482528e+00 2.13422688e-03
0.00108824       7.33165816e+00 3.39280585e+02 -1.08540601e+01 7.32506343e+00 3.30101291e+02 -1.08566628e+01 6.59472695e-03 9.17929378e+00 2.60275438e-03
0.00111765       7.36608291e+00 3.33724231e+02 -1.05170971e+01 7.35970865e+00 3.24520653e+02 -1.05202168e+01 6.37426264e-03 9.20357878e+00 3.11964082e-03
0.00114706       7.18840508e+00 3.28349562e+02 -9.80229523e+00 7.18222146e+00 3.19121846e+02 -9.80592170e+00 6.18362095e-03 9.22771592e+00 3.62646770e-03
0.00117647       6.87849316e+00 3.23063619e+02 -8.87865091e+00 6.87244996e+00 3.13811883e+02 -8.88272272e+00 6.04320472e-03 9.25173642e+00 4.07180893e-03
0.00120588       6.53381258e+00 3.17799118e+02 -7.89538403e+00 6.52784943e+00 3.08523446e+02 -7.89979952e+00 5.96314249e-03 9.27567231e+00 4.41549243e-03
0.00123529       6.22798588e+00 3.12504556e+02 -7.03511041e+00 6.22203712e+00 3.03205020e+02 -7.03975329e+00 5.94876118e-03 9.29953594e+00 4.64287865e-03
0.00126471       6.03997201e+00 3.07159169e+02 -6.40286737e+00 6.03398499e+00 2.97835825e+02 -6.40762393e+00 5.98702513e-03 9.32334410e+00 4.75655759e-03
0.00129412       5.95524221e+00 3.01748372e+02 -6.05049435e+00 5.94917273e+00 2.92401272e+02 -6.05527279e+00 6.06948323e-03 9.34710006e+00 4.77844242e-03
0.00132353       6.02100134e+00 2.96293541e+02 -5.99315911e+00 6.01482786e+00 2.86922730e+02 -5.99789634e+00 6.17347631e-03 9.37081103e+00 4.73722951e-03
0.00135294       6.17075454e+00 2.90807186e+02 -6.19837681e+00 6.16446682e+00 2.81412719e+02 -6.20304665e+00 6.28772417e-03 9.39446673e+00 4.66984056e-03
0.00138235       6.41496164e+00 2.85329212e+02 -6.59206843e+00 6.40856884e+00 2.75911140e+02 -6.59667317e+00 6.39280166e-03 9.41807162e+00 4.60473567e-03
0.00141176       6.68908816e+00 2.79884071e+02 -7.12747888e+00 6.68260488e+00 2.70442465e+02 -7.13205145e+00 6.48328541e-03 9.44160643e+00 4.57256410e-03
0.00144118       7.00166034e+00 2.74514207e+02 -7.71797726e+00 6.99511367e+00 2.65049136e+02 -7.72256788e+00 6.54666999e-03 9.46507107e+00 4.59062233e-03
0.00147059       7.28202806e+00 2.69239155e+02 -8.28911144e+00 7.27544202e+00 2.59750709e+02 -8.29378182e+00 6.58604155e-03 9.48844684e+00 4.67038278e-03
0.0015           7.53727894e+00 2.64089458e+02 -8.76334232e+00 7.53067914e+00 2.54577725e+02 -8.76815010e+00 6.59979917e-03 9.51173293e+00 4.80778528e-03
0.00152941       7.71003886e+00 2.59071947e+02 -9.07961571e+00 7.70343882e+00 2.49537030e+02 -9.08460702e+00 6.60004048e-03 9.53491752e+00 4.99131586e-03
0.00155882       7.81773064e+00 2.54199737e+02 -9.20640458e+00 7.81113750e+00 2.44641735e+02 -9.21160319e+00 6.59314226e-03 9.55800256e+00 5.19860895e-03
0.00158824       7.85356181e+00 2.49468896e+02 -9.16260147e+00 7.84697163e+00 2.39887912e+02 -9.16801351e+00 6.59018261e-03 9.58098374e+00 5.41204050e-03
0.00161765       7.84425709e+00 2.44876013e+02 -8.97047090e+00 7.83766142e+00 2.35272143e+02 -8.97608498e+00 6.59566943e-03 9.60387015e+00 5.61408436e-03
0.00164706       7.80546026e+00 2.40408359e+02 -8.67904944e+00 7.79884781e+00 2.30781695e+02 -8.68484347e+00 6.61244490e-03 9.62666386e+00 5.79402837e-03
0.00167647       7.75881263e+00 2.36051982e+02 -8.33737119e+00 7.75217312e+00 2.26402610e+02 -8.34331733e+00 6.63951139e-03 9.64937253e+00 5.94614027e-03
0.00170588       7.72409527e+00 2.31792395e+02 -7.99189901e+00 7.71742187e+00 2.22120393e+02 -7.99796875e+00 6.67340627e-03 9.67200176e+00 6.06973695e-03
0.00173529       7.71225327e+00 2.27614798e+02 -7.68100439e+00 7.70554343e+00 2.17920243e+02 -7.68717306e+00 6.70984507e-03 9.69455574e+00 6.16866662e-03
0.00176471       7.72775878e+00 2.23506086e+02 -7.42988184e+00 7.72101443e+00 2.13789049e+02 -7.43613103e+00 6.74435024e-03 9.71703690e+00 6.24919051e-03
0.00179412       7.76911081e+00 2.19455535e+02 -7.25009417e+00 7.76233713e+00 2.09716089e+02 -7.25641260e+00 6.77367133e-03 9.73944560e+00 6.31843929e-03
0.00182353       7.83214493e+00 2.15454869e+02 -7.14107024e+00 7.82534843e+00 2.05693089e+02 -7.14745429e+00 6.79649781e-03 9.76177954e+00 6.38404357e-03
0.00185294       7.90851805e+00 2.11498918e+02 -7.09371927e+00 7.90170503e+00 2.01714883e+02 -7.10017161e+00 6.81302183e-03 9.78403555e+00 6.45234091e-03
0.00188235       7.98873750e+00 2.07585376e+02 -7.09356562e+00 7.98191351e+00 1.97779166e+02 -7.10009331e+00 6.82399581e-03 9.80621007e+00 6.52769190e-03
0.00191176       8.06301333e+00 2.03714789e+02 -7.12485064e+00 8.05618255e+00 1.93886490e+02 -7.13146351e+00 6.83078293e-03 9.82829936e+00 6.61286532e-03
0.00194118       8.12366519e+00 1.99889171e+02 -7.17189779e+00 8.11683062e+00 1.90038872e+02 -7.17860666e+00 6.83457490e-03 9.85029939e+00 6.70887633e-03
0.00197059       8.16540592e+00 1.96111735e+02 -7.22148114e+00 8.15856867e+00 1.86239528e+02 -7.22829626e+00 6.83725001e-03 9.87220672e+00 6.81511684e-03
0.002            8.18631451e+00 1.92385850e+02 -7.26374925e+00 8.17947385e+00 1.82491834e+02 -7.27067877e+00 6.84066155e-03 9.89401581e+00 6.92952110e-03
0.00202857       8.19927543e+00 1.88798319e+02 -7.28797339e+00 8.19243283e+00 1.78883232e+02 -7.29501991e+00 6.84260513e-03 9.91508752e+00 7.04652584e-03
0.00205714       8.20443723e+00 1.85268694e+02 -7.29103907e+00 8.19759314e+00 1.75332607e+02 -7.29820637e+00 6.84408463e-03 9.93608678e+00 7.16729561e-03
0.00208571       8.17636657e+00 1.81800289e+02 -7.27647782e+00 8.16951626e+00 1.71843295e+02 -7.28376806e+00 6.85031086e-03 9.95699483e+00 7.29024024e-03
0.00211429       8.14303307e+00 1.78397264e+02 -7.25313848e+00 8.13617246e+00 1.68419440e+02 -7.26055180e+00 6.86060714e-03 9.97782380e+00 7.41331870e-03
0.00214286       8.09247854e+00 1.75052796e+02 -7.22564843e+00 8.08560054e+00 1.65054238e+02 -7.23318538e+00 6.87799657e-03 9.99855840e+00 7.53695048e-03
0.00217143       8.05633162e+00 1.71767642e+02 -7.20077754e+00 8.04943227e+00 1.61748434e+02 -7.20843766e+00 6.89935330e-03 1.00192085e+01 7.66012592e-03
0.0022           8.00797242e+00 1.68533620e+02 -7.17986876e+00 8.00104509e+00 1.58493861e+02 -7.18765307e+00 6.92733168e-03 1.00397587e+01 7.78431162e-03
0.00222857       7.99181397e+00 1.65351587e+02 -7.16849882e+00 7.98485786e+00 1.55291365e+02 -7.17640666e+00 6.95610946e-03 1.00602223e+01 7.90784456e-03
0.00225714       7.95548270e+00 1.62212401e+02 -7.16500513e+00 7.94849220e+00 1.52131820e+02 -7.17303846e+00 6.99049784e-03 1.00805804e+01 8.03332828e-03
0.00228571       7.97175305e+00 1.59119533e+02 -7.17507211e+00 7.96473218e+00 1.49018679e+02 -7.18323068e+00 7.02087245e-03 1.01008537e+01 8.15857525e-03
0.00231429       7.96086338e+00 1.56063669e+02 -7.19325153e+00 7.95380935e+00 1.45942652e+02 -7.20153920e+00 7.05403530e-03 1.01210161e+01 8.28767032e-03
0.00234286       8.00022183e+00 1.53049743e+02 -7.22377390e+00 7.99314123e+00 1.42908653e+02 -7.23219186e+00 7.08059553e-03 1.01410900e+01 8.41796719e-03
0.00237143       8.00778056e+00 1.50070012e+02 -7.25936791e+00 8.00067192e+00 1.39908965e+02 -7.26792166e+00 7.10864353e-03 1.01610466e+01 8.55375677e-03
0.0024           8.05820163e+00 1.47130675e+02 -7.30201283e+00 8.05107160e+00 1.36949764e+02 -7.31070415e+00 7.13002963e-03 1.01809114e+01 8.69132708e-03
0.00242857       8.06984376e+00 1.44225355e+02 -7.34458121e+00 8.06269041e+00 1.34024698e+02 -7.35341595e+00 7.15334345e-03 1.02006567e+01 8.83474136e-03
0.00245714       8.12326075e+00 1.41361679e+02 -7.38908201e+00 8.11609080e+00 1.31141374e+02 -7.39806204e+00 7.16994993e-03 1.02203049e+01 8.98002683e-03
0.00248571       8.13134221e+00 1.38533386e+02 -7.42970571e+00 8.12415277e+00 1.28293558e+02 -7.43883563e+00 7.18944542e-03 1.02398281e+01 9.12991500e-03
0.00251429       8.17994082e+00 1.35749202e+02 -7.46760976e+00 8.17273840e+00 1.25489953e+02 -7.47689006e+00 7.20241781e-03 1.02592490e+01 9.28029893e-03
0.00254286       8.18497868e+00 1.33003006e+02 -7.49958005e+00 8.17776077e+00 1.22724466e+02 -7.50901448e+00 7.21791044e-03 1.02785401e+01 9.43442730e-03
0.00257143       8.22492823e+00 1.30302987e+02 -7.52865810e+00 8.21770080e+00 1.20005262e+02 -7.53824566e+00 7.22743298e-03 1.02977252e+01 9.58756018e-03
0.0026           8.22219186e+00 1.27643243e+02 -7.55464731e+00 8.21495215e+00 1.17326466e+02 -7.56439042e+00 7.23970836e-03 1.03167774e+01 9.74310494e-03
