# Wall shear stress
# Time          	patch           	min             	max             
0.016           	Airfoil	(-4.61102982e+01 -5.90056372e+01 -4.14649615e-18)	(1.04615199e+01 1.30983773e+00 5.50839691e-18)
0.017           	Airfoil	(-4.37293986e+01 -5.79059161e+01 -4.03018968e-18)	(1.09289330e+01 1.28462000e+00 6.70807724e-18)
0.018           	Airfoil	(-4.67436191e+01 -5.59568524e+01 -4.07037567e-18)	(1.19533357e+01 1.25251794e+00 5.38531491e-18)
0.019           	Airfoil	(-5.42851730e+01 -6.19142043e+01 -3.45046539e-18)	(1.16338624e+01 1.22406113e+00 4.62960991e-18)
0.02            	Airfoil	(-4.31325480e+01 -5.93658169e+01 -4.18481616e-18)	(1.07075785e+01 1.20173267e+00 6.44289799e-18)
0.021           	Airfoil	(-4.52733920e+01 -6.58497849e+01 -3.83307382e-18)	(1.10808469e+01 1.17554665e+00 5.79822287e-18)
0.022           	Airfoil	(-4.53601160e+01 -5.95256441e+01 -4.01126730e-18)	(1.18409904e+01 1.16054686e+00 6.26544100e-18)
0.023           	Airfoil	(-4.66563914e+01 -5.98951034e+01 -3.87920385e-18)	(1.14574994e+01 1.13567058e+00 5.11937582e-18)
0.024           	Airfoil	(-4.64214765e+01 -5.95161820e+01 -3.86002106e-18)	(1.25549220e+01 1.11851262e+00 6.16272157e-18)
0.025           	Airfoil	(-4.95963815e+01 -6.33779871e+01 -3.84069021e-18)	(1.17327713e+01 1.09884364e+00 5.93890240e-18)
0.026           	Airfoil	(-4.47995899e+01 -5.98232382e+01 -3.89925251e-18)	(1.19687248e+01 1.08061151e+00 6.05394595e-18)
0.027           	Airfoil	(-4.84760124e+01 -6.07380367e+01 -3.93696825e-18)	(1.21529005e+01 1.06671337e+00 6.24962755e-18)
0.028           	Airfoil	(-4.73838877e+01 -5.94985309e+01 -3.76824545e-18)	(1.29989437e+01 1.05398401e+00 5.82837627e-18)
0.029           	Airfoil	(-6.43647737e+01 -7.24554752e+01 -3.45202454e-18)	(1.23777975e+01 1.05313166e+00 5.48791427e-18)
0.03            	Airfoil	(-4.66736676e+01 -6.28246682e+01 -3.84895437e-18)	(1.25978092e+01 1.04420206e+00 5.97999982e-18)
0.031           	Airfoil	(-5.11904119e+01 -6.18208730e+01 -3.49401390e-18)	(1.34679915e+01 1.02459681e+00 5.49751310e-18)
0.032           	Airfoil	(-4.80677128e+01 -6.26398522e+01 -3.52608615e-18)	(1.39641960e+01 1.01280996e+00 4.70036137e-18)
0.033           	Airfoil	(-4.87057947e+01 -7.15477212e+01 -3.22042726e-18)	(1.32310233e+01 1.00032024e+00 4.31128011e-18)
0.034           	Airfoil	(-5.84101450e+01 -6.92436638e+01 -3.60952372e-18)	(1.35172400e+01 9.84029651e-01 4.63038472e-18)
0.035           	Airfoil	(-5.26689158e+01 -6.62588043e+01 -3.75245860e-18)	(1.31244312e+01 9.81188644e-01 6.13747953e-18)
0.036           	Airfoil	(-5.02615714e+01 -6.65889375e+01 -3.54865644e-18)	(1.38109758e+01 9.68550863e-01 5.47041313e-18)
0.037           	Airfoil	(-4.62338183e+01 -6.50673168e+01 -3.42145726e-18)	(1.30884906e+01 9.65007075e-01 5.53784984e-18)
0.038           	Airfoil	(-5.19470339e+01 -6.97945740e+01 -3.81311724e-18)	(1.36551172e+01 9.78067804e-01 5.61198662e-18)
0.039           	Airfoil	(-4.58907208e+01 -6.35117851e+01 -3.17221060e-18)	(1.19644201e+01 1.03499307e+00 5.05445493e-18)
0.04            	Airfoil	(-4.03259641e+01 -5.60583030e+01 -4.81878303e-18)	(1.08646743e+01 1.21618833e+00 8.13897528e-18)
0.041           	Airfoil	(-3.91205590e+01 -5.70226114e+01 -5.10796228e-18)	(8.82432770e+00 1.42658216e+00 6.18566688e-18)
0.042           	Airfoil	(-3.78616365e+01 -5.08677700e+01 -4.25670644e-18)	(8.95357212e+00 1.48636104e+00 7.75950374e-18)
0.043           	Airfoil	(-4.33450615e+01 -5.20780199e+01 -4.28207287e-18)	(8.87536186e+00 1.47654255e+00 6.92256266e-18)
0.044           	Airfoil	(-4.38371384e+01 -5.38518626e+01 -4.34449408e-18)	(8.00975233e+00 1.41924116e+00 6.12612129e-18)
0.045           	Airfoil	(-3.99935653e+01 -5.15532466e+01 -5.53459428e-18)	(8.47681102e+00 1.36165238e+00 6.33568093e-18)
0.046           	Airfoil	(-3.91506366e+01 -4.98557241e+01 -4.89431452e-18)	(8.05088886e+00 1.36188371e+00 7.85968546e-18)
0.047           	Airfoil	(-4.17894242e+01 -4.93421591e+01 -4.70735943e-18)	(8.32669428e+00 1.34677326e+00 7.71854661e-18)
0.048           	Airfoil	(-4.04146959e+01 -5.21329972e+01 -4.56221641e-18)	(9.53051788e+00 1.32013106e+00 6.29874173e-18)
0.049           	Airfoil	(-4.25091371e+01 -5.19196944e+01 -4.56161970e-18)	(9.58525769e+00 1.28939783e+00 8.46385276e-18)
0.05            	Airfoil	(-4.92005512e+01 -5.48529181e+01 -3.99814070e-18)	(9.16704650e+00 1.28309222e+00 5.82012215e-18)
