# Wall shear stress
# Time          	patch           	min             	max             
0               	Airfoil	(-1.38160500e+03 -1.85123380e+02 -2.64497408e-15)	(-1.17948326e+03 1.85123380e+02 3.79052774e-15)
0.05            	Airfoil	(-8.63455307e+00 -2.88434207e+00 -3.06985711e-17)	(-3.99040572e+00 2.61641912e+00 4.46267875e-17)
0.1             	Airfoil	(-8.26199048e+00 -2.41922555e+00 -2.74160308e-17)	(-3.53537938e+00 2.48163143e+00 4.00412411e-17)
0.15            	Airfoil	(-8.05850438e+00 -2.51585430e+00 -2.67858289e-17)	(-3.55030456e+00 2.60833393e+00 3.87252348e-17)
0.2             	Airfoil	(-7.99966617e+00 -2.35844538e+00 -2.67387077e-17)	(-3.43226310e+00 2.36186046e+00 3.89132444e-17)
0.25            	Airfoil	(-8.08335414e+00 -2.57007721e+00 -2.65938707e-17)	(-3.44099777e+00 2.45240460e+00 3.85802374e-17)
0.3             	Airfoil	(-8.08594904e+00 -2.22167134e+00 -2.67744665e-17)	(-3.55719298e+00 2.28765164e+00 3.89374174e-17)
0.35            	Airfoil	(-7.99299397e+00 -2.34075973e+00 -2.66130087e-17)	(-3.52201270e+00 2.35259850e+00 3.84785768e-17)
0.4             	Airfoil	(-8.10165485e+00 -2.29886204e+00 -2.65987960e-17)	(-3.48799433e+00 2.32962127e+00 3.86066597e-17)
0.45            	Airfoil	(-8.06406579e+00 -2.33087124e+00 -2.65664277e-17)	(-3.57127139e+00 2.31047094e+00 3.85523182e-17)
0.5             	Airfoil	(-7.99573407e+00 -2.31621595e+00 -2.67031579e-17)	(-3.53313309e+00 2.35423444e+00 3.86533426e-17)
0.55            	Airfoil	(-8.15821239e+00 -2.69536474e+00 -2.66230622e-17)	(-3.47997232e+00 2.32204575e+00 3.88258637e-17)
0.6             	Airfoil	(-8.03066724e+00 -2.30623754e+00 -2.66561788e-17)	(-3.57275142e+00 2.37727238e+00 3.87454208e-17)
0.65            	Airfoil	(-8.06657767e+00 -2.37792903e+00 -2.66915218e-17)	(-3.54168852e+00 2.54323831e+00 3.88250688e-17)
0.7             	Airfoil	(-8.07939630e+00 -2.78179891e+00 -2.65874863e-17)	(-3.39923175e+00 2.58607838e+00 3.87854512e-17)
0.75            	Airfoil	(-8.06455124e+00 -2.53430058e+00 -2.66430355e-17)	(-3.57554518e+00 2.35297288e+00 3.86762921e-17)
0.8             	Airfoil	(-8.09311972e+00 -2.55792443e+00 -2.65887239e-17)	(-3.56296122e+00 2.29287863e+00 3.85892467e-17)
0.85            	Airfoil	(-8.11425537e+00 -2.39684580e+00 -2.65856555e-17)	(-3.56950170e+00 2.33301813e+00 3.86241227e-17)
0.9             	Airfoil	(-8.10747073e+00 -2.32701419e+00 -2.67111241e-17)	(-3.56331559e+00 2.38443789e+00 3.88374044e-17)
0.95            	Airfoil	(-8.09124020e+00 -2.30087155e+00 -2.67680880e-17)	(-3.54970698e+00 2.35619412e+00 3.89013071e-17)
1               	Airfoil	(-8.06574809e+00 -2.38532476e+00 -2.65869271e-17)	(-3.38097481e+00 2.31456922e+00 3.86530937e-17)
1.05            	Airfoil	(-8.08394270e+00 -2.29920186e+00 -2.66846024e-17)	(-3.39509632e+00 2.19964982e+00 3.88321985e-17)
1.1             	Airfoil	(-8.08333729e+00 -2.33186430e+00 -2.66804312e-17)	(-3.48766496e+00 2.38580499e+00 3.88868404e-17)
1.15            	Airfoil	(-8.18392865e+00 -2.43368155e+00 -2.66791738e-17)	(-3.49733111e+00 2.35988425e+00 3.86383376e-17)
1.2             	Airfoil	(-8.06436321e+00 -2.48885399e+00 -2.66044980e-17)	(-3.57736776e+00 2.36288530e+00 3.86923984e-17)
1.25            	Airfoil	(-8.03436899e+00 -2.65016466e+00 -2.67163076e-17)	(-3.58359485e+00 2.42239166e+00 3.87861207e-17)
1.3             	Airfoil	(-8.08627914e+00 -2.47148317e+00 -2.65778046e-17)	(-3.54510953e+00 2.26061604e+00 3.86048482e-17)
1.35            	Airfoil	(-8.06290000e+00 -2.24636191e+00 -2.65372291e-17)	(-3.56943510e+00 2.40129504e+00 3.86094845e-17)
1.4             	Airfoil	(-8.05705631e+00 -2.77117503e+00 -2.64069161e-17)	(-3.49261380e+00 2.32699142e+00 3.82219562e-17)
1.45            	Airfoil	(-8.10319477e+00 -2.34284901e+00 -2.66768793e-17)	(-3.48657096e+00 2.60348068e+00 3.88583912e-17)
1.5             	Airfoil	(-8.10219434e+00 -2.34903895e+00 -2.63603162e-17)	(-3.50534887e+00 2.34979268e+00 3.83150222e-17)
1.55            	Airfoil	(-8.09352765e+00 -2.52602832e+00 -2.64589366e-17)	(-3.52944107e+00 2.30022022e+00 3.86185626e-17)
1.6             	Airfoil	(-8.16818647e+00 -2.38484250e+00 -2.66349131e-17)	(-3.55460475e+00 2.33901813e+00 3.87073130e-17)
1.65            	Airfoil	(-8.00794332e+00 -2.48310423e+00 -2.66659779e-17)	(-3.54529453e+00 2.30896385e+00 3.87021835e-17)
1.7             	Airfoil	(-8.06988672e+00 -2.49472340e+00 -2.66965567e-17)	(-3.57581996e+00 2.32244212e+00 3.87231688e-17)
1.75            	Airfoil	(-8.17089601e+00 -2.31279307e+00 -2.67611589e-17)	(-3.48840783e+00 2.28313148e+00 3.88232491e-17)
1.8             	Airfoil	(-8.17693072e+00 -2.32150079e+00 -2.66709517e-17)	(-3.56474896e+00 2.55578741e+00 3.87337976e-17)
1.85            	Airfoil	(-8.14716282e+00 -2.37186231e+00 -2.66630361e-17)	(-3.58885845e+00 2.35735038e+00 3.87332449e-17)
1.9             	Airfoil	(-8.10796646e+00 -3.18763820e+00 -2.67272911e-17)	(-3.59431232e+00 2.59205525e+00 3.88256416e-17)
1.95            	Airfoil	(-8.09663484e+00 -2.43523310e+00 -2.65853279e-17)	(-3.56543042e+00 2.28652392e+00 3.86799438e-17)
