# Wall shear stress
# Time          	patch           	min             	max             
0               	Airfoil	(-2.29673416e+03 -6.45928760e+02 -1.42658205e-17)	(-1.67610261e+03 -6.29769621e+01 1.49135290e-17)
0.0005          	Airfoil	(-2.81387812e+01 -2.04648356e+01 -3.55337754e-16)	(2.82887562e+00 6.53204328e+00 3.34485138e-16)
0.001           	Airfoil	(-2.65845738e+01 -2.41378716e+01 -4.34055062e-16)	(2.53108375e+00 5.26494992e+00 4.09030763e-16)
0.0015          	Airfoil	(-2.80768787e+01 -2.70927295e+01 -4.69258046e-16)	(2.54862236e+00 4.98247442e+00 4.50859560e-16)
0.002           	Airfoil	(-2.92572400e+01 -2.97319071e+01 -4.99451070e-16)	(3.11555864e+00 4.78231499e+00 4.83326803e-16)
0.0025          	Airfoil	(-2.99364225e+01 -3.15514327e+01 -4.50306874e-16)	(3.64538198e+00 4.69526619e+00 4.37904570e-16)
0.003           	Airfoil	(-3.04296707e+01 -3.31806238e+01 -4.44260935e-16)	(4.16917242e+00 4.63944620e+00 4.37555953e-16)
0.0035          	Airfoil	(-3.09849402e+01 -3.48289190e+01 -4.81573742e-16)	(4.66516443e+00 4.55789098e+00 4.73825194e-16)
0.004           	Airfoil	(-3.15810444e+01 -3.67964604e+01 -5.19266170e-16)	(5.17006752e+00 4.46764058e+00 5.10886968e-16)
0.0045          	Airfoil	(-3.21075088e+01 -3.90486586e+01 -5.12074594e-16)	(5.61361325e+00 4.35129725e+00 5.03932243e-16)
0.005           	Airfoil	(-3.24034659e+01 -4.03472375e+01 -4.78416430e-16)	(6.09990358e+00 4.28955693e+00 4.70889232e-16)
0.0055          	Airfoil	(-3.27889424e+01 -4.16287932e+01 -5.12389858e-16)	(6.53695789e+00 4.23440620e+00 5.04247785e-16)
0.006           	Airfoil	(-3.31212568e+01 -4.28255187e+01 -4.87473000e-16)	(6.97392442e+00 4.17831662e+00 4.79798915e-16)
0.0065          	Airfoil	(-3.35256393e+01 -4.43395711e+01 -4.63667585e-16)	(7.41271692e+00 4.11307314e+00 4.56356738e-16)
0.007           	Airfoil	(-3.37377983e+01 -4.55763236e+01 -5.20879933e-16)	(7.81140048e+00 4.08942552e+00 5.12642217e-16)
