# y+ ()         
# Time          	patch           	min             	max             	average         
0.016           	Airfoil	1.94529425e+01	9.97007619e+01	4.78755268e+01
0.017           	Airfoil	1.88623667e+01	9.90396459e+01	4.76528331e+01
0.018           	Airfoil	1.81790695e+01	9.92782159e+01	4.74865880e+01
0.019           	Airfoil	1.76854001e+01	1.03320091e+02	4.73508352e+01
0.02            	Airfoil	1.71017368e+01	9.99902184e+01	4.72387636e+01
0.021           	Airfoil	1.64936563e+01	1.01620361e+02	4.70385363e+01
0.022           	Airfoil	1.58932093e+01	1.00680444e+02	4.69115883e+01
0.023           	Airfoil	1.51497830e+01	1.00223094e+02	4.68221090e+01
0.024           	Airfoil	1.42650119e+01	1.02627059e+02	4.66290201e+01
0.025           	Airfoil	1.34291874e+01	1.01229190e+02	4.65669999e+01
0.026           	Airfoil	1.26858659e+01	1.02192974e+02	4.64885879e+01
0.027           	Airfoil	1.22753303e+01	1.00283173e+02	4.63973830e+01
0.028           	Airfoil	1.18684232e+01	1.01874720e+02	4.63408616e+01
0.029           	Airfoil	1.16156193e+01	1.01042203e+02	4.63026279e+01
0.03            	Airfoil	7.28894184e+00	1.01032482e+02	4.62542638e+01
0.031           	Airfoil	7.06012069e+00	1.03470212e+02	4.62419304e+01
0.032           	Airfoil	6.89020525e+00	1.01647445e+02	4.62376061e+01
0.033           	Airfoil	6.74347571e+00	1.02038884e+02	4.62164522e+01
0.034           	Airfoil	6.64120801e+00	1.03686136e+02	4.61546391e+01
0.035           	Airfoil	6.71942191e+00	1.03514961e+02	4.60544810e+01
0.036           	Airfoil	7.28346502e+00	1.01862724e+02	4.60930380e+01
0.037           	Airfoil	1.15984424e+01	1.01978178e+02	4.62006442e+01
0.038           	Airfoil	1.44122554e+01	1.01955666e+02	4.65159213e+01
0.039           	Airfoil	2.20471208e+01	1.03783479e+02	4.68195149e+01
0.04            	Airfoil	2.23929324e+01	1.01732936e+02	4.64572023e+01
0.041           	Airfoil	1.84051378e+01	9.83834263e+01	4.63005393e+01
0.042           	Airfoil	1.71587457e+01	9.86373715e+01	4.63309395e+01
0.043           	Airfoil	1.69558767e+01	9.91277416e+01	4.64671371e+01
0.044           	Airfoil	1.68447405e+01	9.87878737e+01	4.65787925e+01
0.045           	Airfoil	1.68075158e+01	9.84676786e+01	4.65408465e+01
0.046           	Airfoil	1.64230789e+01	9.87768502e+01	4.64711839e+01
0.047           	Airfoil	1.59258142e+01	9.78878119e+01	4.64938329e+01
0.048           	Airfoil	1.59446073e+01	9.87830392e+01	4.64784023e+01
0.049           	Airfoil	1.58872844e+01	1.00503656e+02	4.64809729e+01
0.05            	Airfoil	1.57068302e+01	9.92322174e+01	4.63999507e+01
