# y+ ()         
# Time          	patch           	min             	max             	average         
0.0005          	Airfoil	2.77739095e-02	7.17263200e-01	5.24492988e-01
0.001           	Airfoil	7.24502855e-02	7.05736839e-01	4.95599563e-01
0.0015          	Airfoil	3.83020109e-02	7.33161891e-01	4.84879564e-01
0.002           	Airfoil	3.67647423e-02	7.60776870e-01	4.78593750e-01
0.0025          	Airfoil	3.65431012e-02	7.75138640e-01	4.74737596e-01
0.003           	Airfoil	2.23648761e-02	7.86418957e-01	4.71376956e-01
0.0035          	Airfoil	6.49573132e-02	7.98352141e-01	4.67309119e-01
0.004           	Airfoil	8.38195050e-02	8.13691644e-01	4.61826490e-01
0.0045          	Airfoil	3.73279968e-02	8.31857816e-01	4.56234691e-01
0.005           	Airfoil	2.67063755e-02	8.39080500e-01	4.52081405e-01
0.0055          	Airfoil	5.52057390e-02	8.46305339e-01	4.47983994e-01
0.006           	Airfoil	6.29923444e-02	8.52380324e-01	4.43999889e-01
0.0065          	Airfoil	1.07247232e-02	8.62169799e-01	4.39711633e-01
0.007           	Airfoil	6.33186616e-02	8.68912729e-01	4.36054600e-01
0.0075          	Airfoil	2.52677640e-02	8.84389960e-01	4.31739892e-01
0.008           	Airfoil	7.92368574e-02	8.89078006e-01	4.27470788e-01
0.0085          	Airfoil	4.62731521e-02	8.92560959e-01	4.22351217e-01
0.009           	Airfoil	5.12996776e-02	9.34200761e-01	4.18358123e-01
0.0095          	Airfoil	3.75047969e-02	9.18768949e-01	4.07191375e-01
0.01            	Airfoil	7.47540593e-02	9.15832489e-01	4.05485008e-01
0.0105          	Airfoil	1.68174687e-02	9.14949102e-01	4.03431268e-01
0.011           	Airfoil	1.31239149e-02	9.12990346e-01	4.00802307e-01
0.0115          	Airfoil	3.98914690e-02	9.12413917e-01	3.97861367e-01
0.012           	Airfoil	2.13834943e-02	9.12060858e-01	3.97635316e-01
0.0125          	Airfoil	4.93509037e-02	9.12910012e-01	3.97872819e-01
0.013           	Airfoil	1.90056251e-02	9.13011191e-01	3.95109080e-01
0.0135          	Airfoil	1.27432376e-02	9.14193475e-01	3.93088912e-01
0.014           	Airfoil	2.01887802e-02	9.14866363e-01	3.93399426e-01
0.0145          	Airfoil	3.64098103e-02	9.15875129e-01	3.91610933e-01
0.015           	Airfoil	1.79470736e-02	9.16480898e-01	3.90005846e-01
0.0155          	Airfoil	1.59339024e-02	9.17394271e-01	3.88870611e-01
0.016           	Airfoil	2.89141547e-02	9.18850173e-01	3.88940267e-01
0.0165          	Airfoil	3.67769983e-02	9.19588903e-01	3.90393389e-01
0.017           	Airfoil	1.29502172e-02	9.21107451e-01	3.89403418e-01
0.0175          	Airfoil	8.30929539e-03	9.22073951e-01	3.89546640e-01
0.018           	Airfoil	1.15022068e-02	9.22560698e-01	3.90870654e-01
0.0185          	Airfoil	1.73340828e-02	9.24009410e-01	3.91118295e-01
0.019           	Airfoil	2.64964570e-02	9.25031047e-01	3.90879747e-01
0.0195          	Airfoil	2.77460322e-02	9.25931616e-01	3.89890764e-01
0.02            	Airfoil	2.83398166e-02	9.26813777e-01	3.90996285e-01
0.0205          	Airfoil	2.69960062e-02	9.27662322e-01	3.92145567e-01
0.021           	Airfoil	2.44554176e-02	9.28461068e-01	3.91834012e-01
0.0215          	Airfoil	4.50985826e-02	9.28696791e-01	3.93829617e-01
0.022           	Airfoil	2.93989335e-02	9.30015604e-01	3.92956582e-01
0.0225          	Airfoil	1.44524477e-02	9.30608023e-01	3.91876174e-01
0.023           	Airfoil	1.28021208e-02	9.30835703e-01	3.93065431e-01
0.0235          	Airfoil	1.68100680e-02	9.32765403e-01	3.94757088e-01
0.024           	Airfoil	1.25090865e-02	9.33346818e-01	3.96226367e-01
0.0245          	Airfoil	2.91071951e-02	9.33876215e-01	3.94170232e-01
