# y+ ()         
# Time          	patch           	min             	max             	average         
0               	Airfoil	5.37484185e+00	5.62234151e+00	5.47413173e+00
0.0005          	Airfoil	4.77484301e-02	7.10496641e-01	5.17245769e-01
0.001           	Airfoil	9.72831290e-03	6.52096108e-01	4.99651328e-01
0.0015          	Airfoil	1.22025795e-02	6.43472811e-01	4.86736434e-01
0.002           	Airfoil	5.37323251e-03	6.42123620e-01	4.79625615e-01
0.0025          	Airfoil	1.04637072e-02	6.41242463e-01	4.77809387e-01
0.003           	Airfoil	1.45390633e-02	6.43531444e-01	4.75432544e-01
0.0035          	Airfoil	2.29390625e-02	6.45931995e-01	4.72304879e-01
0.004           	Airfoil	2.06284227e-02	6.48677110e-01	4.68196465e-01
0.0045          	Airfoil	2.54343749e-02	6.49985379e-01	4.65039083e-01
0.005           	Airfoil	5.08816094e-02	6.54112611e-01	4.58843282e-01
0.0055          	Airfoil	5.47229481e-02	6.56511306e-01	4.53587888e-01
0.006           	Airfoil	6.20745404e-02	6.59012887e-01	4.50714688e-01
0.0065          	Airfoil	6.09751000e-02	6.58808769e-01	4.47958744e-01
0.007           	Airfoil	5.88696434e-02	6.60538286e-01	4.45528624e-01
0.0075          	Airfoil	6.79165273e-02	6.56617874e-01	4.42850648e-01
0.008           	Airfoil	6.56129954e-02	6.55612058e-01	4.40503500e-01
0.0085          	Airfoil	5.80063650e-02	6.54853840e-01	4.38289902e-01
0.009           	Airfoil	6.04718553e-02	6.53903902e-01	4.36074994e-01
0.0095          	Airfoil	6.42186207e-02	6.53842049e-01	4.33911498e-01
0.01            	Airfoil	7.17748656e-02	6.53317022e-01	4.31856798e-01
0.0105          	Airfoil	6.62187542e-02	6.53615516e-01	4.30079889e-01
0.011           	Airfoil	6.55385356e-02	6.53142744e-01	4.28119351e-01
0.0115          	Airfoil	6.31997518e-02	6.53251640e-01	4.26278341e-01
0.012           	Airfoil	6.02634061e-02	6.52942734e-01	4.24354450e-01
0.0125          	Airfoil	5.92213452e-02	6.52820549e-01	4.22929865e-01
0.013           	Airfoil	5.94257183e-02	6.52252407e-01	4.21641442e-01
0.0135          	Airfoil	2.37537943e-02	6.52278249e-01	4.19083121e-01
0.014           	Airfoil	1.87919728e-02	6.51692455e-01	4.17114234e-01
0.0145          	Airfoil	3.68828186e-02	6.51981412e-01	4.16167319e-01
0.015           	Airfoil	5.50334351e-02	6.51955121e-01	4.15040838e-01
0.0155          	Airfoil	3.41407613e-02	6.51812346e-01	4.12884580e-01
0.016           	Airfoil	1.88757927e-02	6.51975953e-01	4.12583127e-01
0.0165          	Airfoil	1.52644317e-02	6.51876811e-01	4.12797764e-01
0.017           	Airfoil	1.03467153e-02	6.51714738e-01	4.10785334e-01
0.0175          	Airfoil	3.98829715e-02	6.51763106e-01	4.12043369e-01
0.018           	Airfoil	1.59952518e-02	6.51465238e-01	4.10614335e-01
0.0185          	Airfoil	5.52331422e-03	6.51443503e-01	4.08602769e-01
0.019           	Airfoil	3.33198592e-02	6.51613620e-01	4.08396225e-01
0.0195          	Airfoil	2.27204382e-02	6.51525322e-01	4.07790029e-01
0.02            	Airfoil	2.50127088e-02	6.51539053e-01	4.07261237e-01
0.0205          	Airfoil	1.77139887e-02	6.51728066e-01	4.07484436e-01
0.021           	Airfoil	9.40621692e-03	6.51898223e-01	4.07506355e-01
0.0215          	Airfoil	1.89204621e-02	6.51832944e-01	4.06839678e-01
0.022           	Airfoil	3.05105482e-02	6.51938933e-01	4.07130601e-01
0.0225          	Airfoil	7.27669973e-03	6.52022462e-01	4.08063131e-01
0.023           	Airfoil	1.60644516e-02	6.52021970e-01	4.05234063e-01
0.0235          	Airfoil	1.28316244e-02	6.52085442e-01	4.04423747e-01
0.024           	Airfoil	2.95425740e-02	7.62106309e-01	4.05431371e-01
0.0245          	Airfoil	8.11087224e-03	6.52096293e-01	4.03405961e-01
0.025           	Airfoil	7.54893623e-03	6.52308911e-01	4.04507214e-01
0.0255          	Airfoil	1.06648753e-02	6.52606413e-01	4.04729805e-01
0.026           	Airfoil	3.25679407e-02	6.52732684e-01	4.03951760e-01
0.0265          	Airfoil	1.82302179e-02	6.52718971e-01	4.02990601e-01
0.027           	Airfoil	2.00566386e-02	6.52689466e-01	4.05161389e-01
0.0275          	Airfoil	3.17005814e-02	6.52711907e-01	4.07262009e-01
0.028           	Airfoil	7.56903000e-03	6.53082502e-01	4.04633860e-01
0.0285          	Airfoil	3.39580434e-02	6.53335719e-01	4.06432821e-01
0.029           	Airfoil	1.36195443e-02	6.53426762e-01	4.05071971e-01
0.0295          	Airfoil	3.65232299e-02	6.53563151e-01	4.05356909e-01
0.03            	Airfoil	2.55526933e-02	6.53875939e-01	4.05670499e-01
