# ccx tau_xx tau_yy tau_zz cp yplus
0.074027 -5.31175 -1.94513 9.21567e-19 -0.287763 804.199
0.0599675 -4.98716 -2.12797 -5.77078e-19 -0.274233 794.277
0.0484536 -4.83227 -2.33803 7.09557e-19 -0.209762 789.561
0.0390515 -4.67256 -2.13567 -2.31924e-18 -0.131798 787.598
0.0313646 -4.38129 -2.19365 -4.34356e-19 -0.0387038 788.616
0.0250798 -4.26459 -2.03515 5.94996e-19 0.0610576 791.655
0.0199429 -4.03148 -1.89612 2.96126e-20 0.161366 796.454
0.0157474 -3.9124 -1.77631 7.87537e-19 0.261616 802.757
0.0123245 -3.74152 -1.52624 4.20388e-19 0.35334 810.029
0.00953661 -3.72552 -1.53558 7.73578e-18 0.438277 818.182
0.00727229 -3.72333 -1.1716 2.37129e-19 0.514499 826.878
0.00544035 -3.61049 -1.11809 1.2507e-19 0.582857 835.956
0.00396714 -3.66515 -0.816793 -1.08168e-17 0.643985 845.088
0.00279376 -3.57369 -0.751533 1.16735e-17 0.69646 853.904
0.001874 -3.69009 -0.545477 -3.27076e-19 0.742733 862.178
0.00117035 -3.57561 -0.414153 1.25601e-17 0.780781 869.653
0.000651738 -3.65794 -0.316045 -1.3292e-17 0.809663 876.025
0.000295247 -3.58722 -0.196367 -3.76822e-20 0.829959 880.927
8.62243e-05 -3.63624 -0.107348 -1.59893e-18 0.839977 883.984
1.72236e-05 -3.68302 -0.00342185 -1.12373e-22 0.842295 885.128
8.62243e-05 -3.6241 0.0992856 -1.85972e-18 0.83949 883.927
0.000295247 -3.59507 0.181359 -3.75398e-20 0.828751 880.836
0.000651738 -3.67839 0.329673 -2.66457e-17 0.807191 875.866
0.00117035 -3.54568 0.398455 3.8578e-17 0.777547 869.439
0.001874 -3.70443 0.530419 -2.46313e-17 0.738596 861.909
0.00279376 -3.5721 0.753985 2.33268e-17 0.690474 853.539
0.00396714 -3.67678 0.799207 -1.01156e-17 0.635786 844.613
0.00544035 -3.60526 1.12613 7.5691e-19 0.572345 835.385
0.00727229 -3.73523 1.15212 0 0.501368 826.204
0.00953661 -3.71429 1.5413 -7.93925e-18 0.42153 817.369
0.0123245 -3.76369 1.49299 -3.35795e-20 0.332689 809.04
